marketing_spend,advertising_spend,website_traffic,number_of_customers,product_price,discount_percentage,previous_revenue,revenue
38923.85,12538.68,119536.56,1705.59,372.98,47.71,186620.23,134820.99
22505.04,17928.1,122471.95,1010.5,497.95,49.52,222087.86,97624.05
43071.3,24068.06,53645.23,1244.22,30.08,41.66,492655.7,224871.46
35171.03,10783.61,18941.92,2534.16,130.01,22.19,60413.16,124550.52
5614.69,2478.17,51033.47,1786.26,302.89,27.37,73592.54,69174.09
48805.5,18833.05,42851.21,811.82,213.45,25.17,228977.76,163885.92
38295.85,23252.64,80991.44,1411.59,322.4,7.78,101236.95,136504.85
39517.15,21093.64,163880.1,3684.79,297.34,42.72,348718.48,201105.11
7277.57,15642.21,43769.11,1571.52,396.11,33.79,193125.22,113088.38
23068.91,12969.15,61612.04,1688.7,44.74,31.9,426179.58,181167.15
19169.1,8915.26,117273.78,1130.27,225.9,11.02,379333.06,151646.82
46411.48,20151.98,94953.09,1457.97,431.43,7.66,245987.26,161834.2
32549.39,10995.01,20165.59,2563.42,187.75,43.65,425590.11,201939.87
41315.32,22924.52,46784.67,2613.9,256.86,8.97,68393.05,146243.71
22727.3,8886.31,147720.23,2101.55,20.57,3.69,298927.52,176192.56
12134.7,8606.57,26844.18,2825.81,119.85,31.28,310463.82,189163.63
28174.65,16012.55,109898.5,1752.24,237.19,35.22,138090.13,140339.3
4127.05,10816.25,128540.22,3249.26,205.49,5.98,43818.24,124645.06
41553.93,20527.35,59910.54,491.09,360.18,10.34,276895.5,165925.36
31951.56,15420.48,122472.7,1719.33,309.82,39.44,266564.98,173826.42
38146.3,26058.99,50481.99,2832.11,441.34,46.48,333733.64,223173.15
18371.77,20553.07,62731.25,3027.45,428.84,23.82,122205.8,138640.44
48564.2,27355.55,72098.64,2654.12,128.2,39.6,106228.81,165365.23
44762.93,21728.16,166865.6,2876.94,18.64,15.97,489399.63,266788.32
39140.79,20710.81,52681.63,2728.37,428.69,35.16,74570.48,116318.35
10537.3,14486.83,35324.55,2328.54,171.27,27.86,499716.12,256806.59
