marketing_spend,advertising_spend,website_traffic,number_of_customers,product_price,discount_percentage,previous_revenue,revenue
2575.31,14706.1,149218.86,1730.23,366.14,13.38,417459.39,176639.89
46455.75,27270.56,71287.11,2846.7,123.0,15.56,448152.47,254301.98
12578.21,17726.3,120429.08,2484.45,53.8,31.41,231498.33,152237.78
37692.22,23117.79,41393.38,571.62,50.54,5.56,404616.81,217391.95
38852.78,13424.83,41872.84,1887.07,69.76,37.35,376419.46,209236.66
41780.73,13648.95,64079.38,2109.57,187.4,5.91,65196.05,138412.07
30518.1,22373.62,125238.01,3613.95,168.59,23.92,355674.24,262226.25
18526.45,10107.77,24080.59,793.4,221.81,11.49,197894.33,114068.86
47529.07,11859.35,103201.7,1195.89,419.01,40.96,488504.89,217008.02
32077.49,12597.61,101645.99,754.94,231.49,34.02,287275.14,149612.55
4493.92,13935.11,26050.35,3107.09,208.31,34.01,324237.02,205585.27
38341.58,21367.39,165187.0,2251.28,413.81,34.91,160915.46,159524.01
44954.64,13171.21,90683.34,2722.74,471.23,38.12,129806.11,170109.85
44933.74,19001.67,97383.4,1276.3,106.13,29.04,303005.6,177062.62
5620.02,5694.74,63557.81,1544.38,484.47,28.99,70520.59,60925.68
20560.57,19978.97,42109.33,2127.83,318.31,48.05,26251.38,82320.36
16540.51,15610.37,53672.14,2008.31,498.6,33.41,391363.51,190420.44
23101.28,11643.12,77258.51,611.59,139.68,43.36,361018.74,158384.14
42068.69,22367.57,157800.17,3321.06,368.97,35.36,338224.53,216069.98
23103.42,17171.41,91856.23,2199.97,186.37,28.02,20428.68,95344.57
25218.73,21317.93,137232.05,2718.87,354.69,4.75,137989.06,152342.75
25318.15,14506.01,84430.7,1637.96,151.89,34.37,487253.14,234353.29
41011.87,20443.09,150145.09,2913.68,377.92,1.58,471146.07,277114.4
2451.96,19592.15,162377.89,2983.04,251.35,12.56,261969.15,150040.99
20425.38,15855.01,43924.64,2685.76,209.75,13.89,128859.44,137520.76
44074.37,23373.64,44913.04,663.23,488.07,11.48,66061.51,129985.21
24246.39,6321.23,92526.57,2561.01,210.52,31.44,418831.72,210861.82
26216.84,7328.03,129228.41,3021.71,381.61,18.07,321803.85,207317.55
46220.35,19670.05,66128.81,2616.39,156.23,20.33,151767.64,152635.13
18250.48,23245.09,53501.27,659.89,270.75,38.6,160442.94,138593.65
32196.84,19656.85,141233.53,916.92,178.99,13.12,308263.55,200566.84
33440.43,18206.91,68351.77,2419.83,210.5,32.8,122990.07,167137.45
34340.52,17231.81,51023.14,3247.4,363.44,37.02,118597.76,175290.33
43598.73,16196.76,38727.77,2447.03,208.13,3.94,43912.16,114691.97
36759.26,18339.86,124159.82,1838.58,318.0,19.88,364126.14,204715.37
36966.81,7961.26,124268.26,2302.78,398.5,25.39,281536.68,169257.72
11774.61,6447.51,92822.61,2002.15,206.87,15.07,75800.09,98267.48
39942.78,23553.04,31617.27,316.45,54.58,5.04,410732.59,208691.01
38058.42,21247.77,85068.99,1302.32,201.68,7.94,28129.97,108882.54
15991.87,18389.06,67000.12,3306.97,183.1,27.03,78905.02,123980.89
3104.92,17194.04,93365.23,1601.03,346.52,16.7,430718.28,205339.59
8049.72,19380.37,55788.43,1135.49,426.23,46.93,130643.88,77175.09
3931.39,3886.59,70161.31,3297.81,81.35,26.28,263500.98,169275.74
27816.86,19281.88,27467.53,1128.3,372.52,17.54,388479.76,199706.23
20526.82,18634.81,156214.65,2608.79,381.99,31.0,45966.88,132611.54
48236.67,20552.74,42573.6,3091.22,471.44,30.85,94610.3,163385.3
23486.87,15908.14,19731.41,2525.25,450.42,14.06,468823.18,266800.41
47330.47,23799.8,57018.64,3158.83,169.4,35.26,451362.13,261720.77
26947.56,11565.93,30370.11,2443.19,276.09,11.11,111792.64,139204.74
8249.4,19441.21,55348.26,634.51,423.64,41.23,332801.5,180949.84
18065.52,4787.25,74604.42,3126.73,426.41,29.88,145064.6,146544.6
42778.51,20244.43,55710.86,3046.09,471.99,30.41,386096.83,252938.92
23885.08,17919.89,151299.54,1185.11,296.07,2.38,195192.03,119535.86
47494.04,16397.61,78639.43,769.32,88.5,3.31,371788.9,194025.54
41387.71,23214.58,107424.92,1354.31,134.9,42.76,165740.6,131468.34
1865.77,4252.67,126463.7,814.45,262.64,29.32,463093.67,151728.61
32493.54,9677.94,99472.96,1813.04,246.47,25.11,279897.79,169048.34
29920.45,18323.25,76188.08,1150.29,158.62,14.87,215703.8,152709.87
47695.78,21713.09,33253.57,822.07,167.78,19.95,174317.56,159193.41
45898.8,22565.97,106761.32,1492.48,252.19,43.0,432619.78,258735.9
13249.35,9888.72,52493.82,1416.19,177.65,47.51,177409.33,98956.19
3413.45,16489.45,147290.09,3552.05,418.44,34.0,76916.76,116745.62
42675.52,20903.07,137128.66,1036.68,235.59,23.34,398824.31,213888.22
19109.01,13842.71,90783.34,2381.24,171.87,28.3,297353.13,164227.53
8997.13,3453.08,65875.57,1772.1,88.37,25.66,424361.16,179617.43
11597.2,15626.15,113827.99,1747.21,415.48,10.84,378093.06,222146.2
17068.27,12861.12,111549.56,2699.63,153.27,9.68,251752.29,202051.71
42855.92,9189.99,114860.63,2284.39,345.73,30.38,241531.86,201411.68
18477.95,11621.38,89703.94,1247.54,439.25,36.08,27272.31,67746.94
9884.75,6536.28,108627.56,3358.66,159.73,3.13,460796.32,245906.22
11144.01,14677.27,69126.61,1448.58,344.19,27.2,222951.21,110329.58
11227.62,14592.59,114819.97,2414.56,187.76,11.1,33242.26,109679.92
5659.69,15185.67,104753.69,2419.93,258.66,4.42,430941.11,230054.73
5347.99,7405.53,149672.07,995.7,18.52,22.09,190851.38,113916.05
40176.12,10341.47,52366.57,1590.65,52.86,0.1,83040.34,103574.25
3980.66,10615.78,31367.58,557.7,69.0,11.62,338889.89,156158.42
23948.55,19126.92,155073.17,2455.93,171.74,49.69,401736.0,208440.25
30901.14,7661.97,28138.0,1485.3,41.18,33.32,339669.21,176301.91
48631.44,17409.77,119486.08,2517.3,63.9,19.68,57719.67,154540.64
38238.38,18092.99,88323.82,866.37,118.84,44.66,109205.66,106816.58
16172.95,7777.84,65770.33,1094.51,42.99,44.48,103486.35,59184.13
17672.65,8747.31,119135.83,1940.64,272.85,17.06,189051.34,146776.49
25515.47,14856.34,48809.51,1753.35,67.42,1.19,326646.67,167545.73
43876.14,22962.84,78281.15,2308.26,420.43,22.6,430527.96,236143.25
35008.21,9834.44,71367.72,3326.92,482.45,35.24,298805.3,233751.79
44941.01,9888.79,46724.09,1791.73,95.49,13.84,346150.88,216565.39
18672.21,4693.24,104526.88,1642.44,115.19,28.5,334681.36,163860.44
12028.75,12484.95,117585.49,1899.08,282.34,35.89,91051.65,109360.69
28650.51,22038.85,160314.94,1232.79,420.44,36.15,368719.71,210233.73
41973.79,25409.94,51216.86,3196.86,436.43,30.91,263377.6,206706.42
23254.77,8960.77,147226.74,1464.77,366.15,30.73,143012.88,114590.5
1366.67,8461.71,145773.45,3520.05,118.43,38.12,436042.96,238870.87
10566.84,6019.58,99096.92,3339.82,365.59,28.32,68303.07,137375.02
15261.47,17089.92,78890.07,966.63,256.51,40.64,50194.07,70141.49
45579.88,26630.43,107049.74,2634.11,165.6,39.2,376476.43,217219.49
22677.09,7198.61,90785.76,2182.49,186.42,48.71,29257.01,86823.66
5914.08,4921.79,55103.0,1390.75,214.51,22.61,312979.09,145742.58
49598.58,13011.77,155348.51,3625.85,74.22,0.26,386556.53,259485.38
